timestamp_utc,Номер на процедура,Име на процедура,Брой подадени проектни предложения,Обща стойност на подадените проектни предложения,Стойност на подадените проектни предложения БФП (в евро),Брой одобрени проектни предложения,Брой проектни предложения в резервен списък,Брой отхвърлени проектни предложения
2026-02-10T18:21:52+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,,,,,,
2026-02-10T19:49:09+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,7.0,5685662.82,4283513.83,0.0,0.0,0.0
2026-02-11T11:51:42+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,8.0,6474142.82,4952573.83,0.0,0.0,0.0
2026-02-11T20:50:34+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,10.0,7420051.9,5729103.55,0.0,0.0,0.0
2026-02-12T09:11:44+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,11.0,8172691.9,6328975.55,0.0,0.0,0.0
2026-02-12T11:48:16+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,14.0,9595091.9,7465125.55,0.0,0.0,0.0
2026-02-12T13:28:17+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,16.0,10476301.99,8084348.71,0.0,0.0,0.0
2026-02-12T13:38:29+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,17.0,10826301.99,8399348.71,0.0,0.0,0.0
2026-02-12T16:03:17+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,21.0,13592525.34,10592545.54,0.0,0.0,0.0
2026-02-13T08:55:38+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,22.0,14198525.34,11091745.54,0.0,0.0,0.0
2026-02-13T09:31:40+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,23.0,15134125.74,11830371.54,0.0,0.0,0.0
2026-02-13T10:53:46+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,24.0,15821302.02,12352625.51,0.0,0.0,0.0
2026-02-13T12:29:33+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,27.0,17632475.49,13801475.6,0.0,0.0,0.0
2026-02-13T12:53:39+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,29.0,18763831.71,14721661.03,0.0,0.0,0.0
2026-02-13T13:20:05+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,33.0,21124725.47,16774871.04,0.0,0.0,0.0
2026-02-13T13:53:41+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,36.0,23074104.41,18319123.92,0.0,0.0,0.0
2026-02-13T14:13:41+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,42.0,27792032.92,22203149.13,0.0,0.0,0.0
2026-02-13T14:23:41+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,44.0,28879458.74,23089729.5,0.0,0.0,0.0
2026-02-13T16:58:40+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,46.0,30194057.66,24163985.01,0.0,0.0,0.0
2026-02-13T17:50:29+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,49.0,32005264.53,25674750.51,0.0,0.0,0.0
2026-02-13T19:02:43+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,51.0,33320924.05,26913452.59,0.0,0.0,0.0
2026-02-13T20:51:10+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,52.0,34100181.96,27565720.33,0.0,0.0,0.0
2026-02-14T02:44:57+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,53.0,34561467.96,27976012.73,0.0,0.0,0.0
2026-02-14T09:40:20+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,55.0,36029222.82,29080723.29,0.0,0.0,0.0
2026-02-14T11:30:35+00:00,BG16RFPR002-1.010,Зелени и цифрови партньорства за интелигентна трансформация,56.0,37118740.83,29726497.21,0.0,0.0,0.0
